codigo_sii,actividad_sii,mcc,categoria
931109,GESTIÓN DE OTRAS INSTALACIONES DEPORTIVAS N.C.P.,7032,CAMPOS DEPORTIVOS Y RECREATIVOS
649202,ACTIVIDADES DE CRÉDITO PRENDARIO,5933,CASAS DE EMPEÑO
466902,VENTA AL POR MAYOR DE DESECHOS METÁLICOS (CHATARRA),5935,CHATARRA Y DEMOLICIÓN
466909,"VENTA AL POR MAYOR DE DESPERDICIOS, DESECHOS Y OTROS PRODUCTOS N.C.P.",5935,CHATARRA Y DEMOLICIÓN
591400,ACTIVIDADES DE EXHIBICIÓN DE PELÍCULAS CINEMATOGRÁFICAS Y CINTAS DE VIDEO,7832,CINES
900001,"SERVICIOS DE PRODUCCIÓN DE OBRAS DE TEATRO, CONCIERTOS, ESPECTÁCULOS DE DANZA, OTRAS PROD. ESCÉNICAS",7832,CINES
931109,GESTIÓN DE OTRAS INSTALACIONES DEPORTIVAS N.C.P.,7997,"CLUBES DE MEMBRESÍA, CLUBES DE CAMPO Y CAMPOS DE GOLF PRIVADOS"
931201,ACTIVIDADES DE CLUBES DE FÚTBOL AMATEUR Y PROFESIONAL,7997,"CLUBES DE MEMBRESÍA, CLUBES DE CAMPO Y CAMPOS DE GOLF PRIVADOS"
931209,ACTIVIDADES DE OTROS CLUBES DEPORTIVOS N.C.P.,7997,"CLUBES DE MEMBRESÍA, CLUBES DE CAMPO Y CAMPOS DE GOLF PRIVADOS"
931901,PROMOCIÓN Y ORGANIZACIÓN DE COMPETENCIAS DEPORTIVAS,7997,"CLUBES DE MEMBRESÍA, CLUBES DE CAMPO Y CAMPOS DE GOLF PRIVADOS"
949902,ACTIVIDADES DE CLUBES SOCIALES,7997,"CLUBES DE MEMBRESÍA, CLUBES DE CAMPO Y CAMPOS DE GOLF PRIVADOS"
931201,ACTIVIDADES DE CLUBES DE FÚTBOL AMATEUR Y PROFESIONAL,7941,CLUBES Y CAMPOS DEPORTIVOS PROFESIONALES
931209,ACTIVIDADES DE OTROS CLUBES DEPORTIVOS N.C.P.,7941,CLUBES Y CAMPOS DEPORTIVOS PROFESIONALES
861010,ACTIVIDADES DE HOSPITALES Y CLÍNICAS PÚBLICAS,8062,CLÍNICAS Y HOSPITALES
861020,ACTIVIDADES DE HOSPITALES Y CLÍNICAS PRIVADAS,8062,CLÍNICAS Y HOSPITALES
862010,ACTIVIDADES DE CENTROS DE SALUD MUNICIPALIZADOS (SERVICIOS DE SALUD PÚBLICA),8062,CLÍNICAS Y HOSPITALES
862021,CENTROS MÉDICOS PRIVADOS (ESTABLECIMIENTOS DE ATENCIÓN AMBULATORIA),8062,CLÍNICAS Y HOSPITALES
862022,CENTROS DE ATENCIÓN ODONTOLÓGICA PRIVADOS (ESTABLECIMIENTOS DE ATENCIÓN AMBULATORIA),8062,CLÍNICAS Y HOSPITALES
492300,TRANSPORTE DE CARGA POR CARRETERA,4214,COMPAÑIAS DE MUDANZAS Y ALMACENAMIENTO
262000,FABRICACIÓN DE COMPUTADORES Y EQUIPO PERIFÉRICO,5045,"COMPUTADORES, PERIFÉRICOS Y SOFTWARE"
465100,"VENTA AL POR MAYOR DE COMPUTADORES, EQUIPO PERIFÉRICO Y PROGRAMAS INFORMÁTICOS",5045,"COMPUTADORES, PERIFÉRICOS Y SOFTWARE"
451002,VENTA AL POR MENOR DE VEHÍCULOS AUTOMOTORES NUEVOS O USADOS (INCLUYE COMPRAVENTA),5521,"CONCESIONARIOS DE AUTOMÓVILES Y CAMIONES (SOLO USADOS) VENTAS, SERVICIO, REPARACIONES, PIEZAS Y ARRENDAMIENTO"
